Latitude,Longitude,Altitude
14.718208789503667,-115.66123116163045,-21.358065026272754
14.591308696125537,-115.4570260212332,-21.3580610370564
14.483931747723073,-115.23425846544008,-21.25805676818849
14.357031610708873,-115.0114891659889,-21.25805246329424
14.230131488362385,-114.78871986455778,-21.258048168373804
14.093469895317053,-114.56595059380854,-21.25804386328852
13.966569802425521,-114.34318128211692,-21.258039587823973
13.820146755367897,-114.12041203595956,-21.258035282893566
13.663962177808394,-113.87907867109894,-21.258030636311794
13.50777761941054,-113.63774530042564,-21.2580260031611
13.341831535250979,-113.3778478095631,-21.25802103146348
13.166123991699823,-113.11795034358991,-21.258016056454963
12.980655193527326,-112.8580546703003,-21.158011074115123
12.804947694173144,-112.59815718357068,-21.15800612941058
12.609717139770293,-112.3011314577126,-21.15800050793557
12.414486615023378,-112.00410572172527,-21.157994906929645
12.209494699190504,-111.72564415526972,-21.15798963045892
12.004502755850403,-111.42861842842476,-21.157984048980857
11.789749366736288,-111.13159272161755,-21.157978470465665
11.584757486224266,-110.83456697282087,-21.15797292987567
11.37976558215033,-110.51897706646608,-21.157967090191484
11.174773764064422,-110.22195129692162,-21.157961590841374
10.960020451498675,-109.90636139655076,-21.157955777008958
10.735505751263624,-109.60933565670055,-21.15795028670309
10.52075255698173,-109.31230988018063,-21.157944836512968
10.29623787523429,-108.99671996856176,-21.157939072286695
10.07172343407225,-108.69969589603217,-21.057933649757473
9.84720881976638,-108.38410595330599,-21.057927930970294
9.622694286425954,-108.08708014622343,-21.057922553236544
9.388418274296392,-107.77149020250016,-21.057916866793725
9.15414234289511,-107.47446439056174,-21.057911518312963
8.919866446711954,-107.17743856499773,-21.057906191362953
8.695352051969913,-106.88041270571051,-21.057900901617835
8.451314760164802,-106.58338687281807,-21.057895606539482
8.217038931286854,-106.26779685905471,-21.057890038776492
7.982763215065955,-105.98933512471157,-21.057885110905538
7.748487579895077,-105.6737467385388,-20.957879588368606
7.504450430452685,-105.37672084252327,-20.957874384728598
7.260413317617189,-105.07969493144822,-20.95786920787996
7.016376241680035,-104.78266900596546,-20.957864049761916
6.782100663046776,-104.48564304863922,-20.957858928783907
6.538063659546641,-104.18861709286418,-20.957853817790692
6.30378815236358,-103.89159110694202,-20.957848740703298
6.0695126799605,-103.59456510584818,-20.957843685005813
5.825475849289287,-103.27897657667042,-20.857838343643365
5.5912004722841075,-103.00051468989922,-20.85783363339241
5.3569251280129,-102.72205279122588,-20.85782894579779
5.132411272861617,-102.44359086450021,-20.857824285346794
4.927420382166524,-102.18369304969133,-20.85781995650796
4.722429518205072,-101.92379522346428,-20.857815646744704
4.536961588907516,-101.66389736512406,-20.8578113666289
4.341732251310717,-101.42256365508086,-20.85780739131745
4.146503002622119,-101.18123152322696,-20.757803430420985
